2026-03-09 12:38:06 - INFO - viterbi processed marker 3800 for HG00740_h2
2026-03-09 12:38:09 - INFO - haplotype 2 (HG00740_h2) processed
2026-03-09 12:39:54 - INFO - forward pass complete for HG01142_h1
2026-03-09 12:41:47 - INFO - backward pass complete for HG01142_h1
2026-03-09 12:41:58 - INFO - global ancestry calculated for HG01142_h1
2026-03-09 12:42:01 - INFO - viterbi processed marker 100 for HG01142_h1
2026-03-09 12:42:04 - INFO - viterbi processed marker 200 for HG01142_h1
2026-03-09 12:42:07 - INFO - viterbi processed marker 300 for HG01142_h1
2026-03-09 12:42:10 - INFO - viterbi processed marker 400 for HG01142_h1
2026-03-09 12:42:13 - INFO - viterbi processed marker 500 for HG01142_h1
2026-03-09 12:42:15 - INFO - viterbi processed marker 600 for HG01142_h1
2026-03-09 12:42:18 - INFO - viterbi processed marker 700 for HG01142_h1
2026-03-09 12:42:21 - INFO - viterbi processed marker 800 for HG01142_h1
2026-03-09 12:42:24 - INFO - viterbi processed marker 900 for HG01142_h1
2026-03-09 12:42:27 - INFO - viterbi processed marker 1000 for HG01142_h1
2026-03-09 12:42:30 - INFO - viterbi processed marker 1100 for HG01142_h1
2026-03-09 12:42:33 - INFO - viterbi processed marker 1200 for HG01142_h1
2026-03-09 12:42:36 - INFO - viterbi processed marker 1300 for HG01142_h1
2026-03-09 12:42:39 - INFO - viterbi processed marker 1400 for HG01142_h1
2026-03-09 12:42:42 - INFO - viterbi processed marker 1500 for HG01142_h1
2026-03-09 12:42:45 - INFO - viterbi processed marker 1600 for HG01142_h1
2026-03-09 12:42:47 - INFO - viterbi processed marker 1700 for HG01142_h1
2026-03-09 12:42:50 - INFO - viterbi processed marker 1800 for HG01142_h1
2026-03-09 12:42:53 - INFO - viterbi processed marker 1900 for HG01142_h1
2026-03-09 12:42:56 - INFO - viterbi processed marker 2000 for HG01142_h1
2026-03-09 12:43:00 - INFO - viterbi processed marker 2100 for HG01142_h1
2026-03-09 12:43:03 - INFO - viterbi processed marker 2200 for HG01142_h1
2026-03-09 12:43:06 - INFO - viterbi processed marker 2300 for HG01142_h1
2026-03-09 12:43:09 - INFO - viterbi processed marker 2400 for HG01142_h1
2026-03-09 12:43:12 - INFO - viterbi processed marker 2500 for HG01142_h1
2026-03-09 12:43:15 - INFO - viterbi processed marker 2600 for HG01142_h1
2026-03-09 12:43:18 - INFO - viterbi processed marker 2700 for HG01142_h1
2026-03-09 12:43:20 - INFO - viterbi processed marker 2800 for HG01142_h1
2026-03-09 12:43:23 - INFO - viterbi processed marker 2900 for HG01142_h1
2026-03-09 12:43:26 - INFO - viterbi processed marker 3000 for HG01142_h1
2026-03-09 12:43:29 - INFO - viterbi processed marker 3100 for HG01142_h1
2026-03-09 12:43:32 - INFO - viterbi processed marker 3200 for HG01142_h1
2026-03-09 12:43:35 - INFO - viterbi processed marker 3300 for HG01142_h1
2026-03-09 12:43:38 - INFO - viterbi processed marker 3400 for HG01142_h1
2026-03-09 12:43:41 - INFO - viterbi processed marker 3500 for HG01142_h1
2026-03-09 12:43:44 - INFO - viterbi processed marker 3600 for HG01142_h1
2026-03-09 12:43:47 - INFO - viterbi processed marker 3700 for HG01142_h1
2026-03-09 12:43:50 - INFO - viterbi processed marker 3800 for HG01142_h1
2026-03-09 12:43:52 - INFO - haplotype 3 (HG01142_h1) processed
2026-03-09 12:45:41 - INFO - forward pass complete for HG01142_h2
2026-03-09 12:47:29 - INFO - backward pass complete for HG01142_h2
2026-03-09 12:47:40 - INFO - global ancestry calculated for HG01142_h2
2026-03-09 12:47:43 - INFO - viterbi processed marker 100 for HG01142_h2
2026-03-09 12:47:46 - INFO - viterbi processed marker 200 for HG01142_h2
2026-03-09 12:47:49 - INFO - viterbi processed marker 300 for HG01142_h2
2026-03-09 12:47:52 - INFO - viterbi processed marker 400 for HG01142_h2
2026-03-09 12:47:55 - INFO - viterbi processed marker 500 for HG01142_h2
2026-03-09 12:47:58 - INFO - viterbi processed marker 600 for HG01142_h2
2026-03-09 12:48:01 - INFO - viterbi processed marker 700 for HG01142_h2
2026-03-09 12:48:04 - INFO - viterbi processed marker 800 for HG01142_h2
2026-03-09 12:48:07 - INFO - viterbi processed marker 900 for HG01142_h2
2026-03-09 12:48:10 - INFO - viterbi processed marker 1000 for HG01142_h2
2026-03-09 12:48:12 - INFO - viterbi processed marker 1100 for HG01142_h2
2026-03-09 12:48:15 - INFO - viterbi processed marker 1200 for HG01142_h2
2026-03-09 12:48:18 - INFO - viterbi processed marker 1300 for HG01142_h2
2026-03-09 12:48:21 - INFO - viterbi processed marker 1400 for HG01142_h2
2026-03-09 12:48:24 - INFO - viterbi processed marker 1500 for HG01142_h2
2026-03-09 12:48:27 - INFO - viterbi processed marker 1600 for HG01142_h2
2026-03-09 12:48:30 - INFO - viterbi processed marker 1700 for HG01142_h2
2026-03-09 12:48:33 - INFO - viterbi processed marker 1800 for HG01142_h2
2026-03-09 12:48:36 - INFO - viterbi processed marker 1900 for HG01142_h2
2026-03-09 12:48:40 - INFO - viterbi processed marker 2000 for HG01142_h2
2026-03-09 12:48:44 - INFO - viterbi processed marker 2100 for HG01142_h2
2026-03-09 12:48:47 - INFO - viterbi processed marker 2200 for HG01142_h2
2026-03-09 12:48:50 - INFO - viterbi processed marker 2300 for HG01142_h2
2026-03-09 12:48:53 - INFO - viterbi processed marker 2400 for HG01142_h2
2026-03-09 12:48:56 - INFO - viterbi processed marker 2500 for HG01142_h2
2026-03-09 12:48:59 - INFO - viterbi processed marker 2600 for HG01142_h2
2026-03-09 12:49:02 - INFO - viterbi processed marker 2700 for HG01142_h2
2026-03-09 12:49:05 - INFO - viterbi processed marker 2800 for HG01142_h2
2026-03-09 12:49:08 - INFO - viterbi processed marker 2900 for HG01142_h2
2026-03-09 12:49:11 - INFO - viterbi processed marker 3000 for HG01142_h2
2026-03-09 12:49:14 - INFO - viterbi processed marker 3100 for HG01142_h2
2026-03-09 12:49:17 - INFO - viterbi processed marker 3200 for HG01142_h2
2026-03-09 12:49:20 - INFO - viterbi processed marker 3300 for HG01142_h2
2026-03-09 12:49:23 - INFO - viterbi processed marker 3400 for HG01142_h2
2026-03-09 12:49:26 - INFO - viterbi processed marker 3500 for HG01142_h2
2026-03-09 12:49:29 - INFO - viterbi processed marker 3600 for HG01142_h2
2026-03-09 12:49:32 - INFO - viterbi processed marker 3700 for HG01142_h2
2026-03-09 12:49:35 - INFO - viterbi processed marker 3800 for HG01142_h2
2026-03-09 12:49:36 - INFO - haplotype 4 (HG01142_h2) processed
2026-03-09 12:51:28 - INFO - forward pass complete for HG01161_h1
2026-03-09 12:53:16 - INFO - backward pass complete for HG01161_h1
2026-03-09 12:53:27 - INFO - global ancestry calculated for HG01161_h1
2026-03-09 12:53:30 - INFO - viterbi processed marker 100 for HG01161_h1
2026-03-09 12:53:33 - INFO - viterbi processed marker 200 for HG01161_h1
2026-03-09 12:53:36 - INFO - viterbi processed marker 300 for HG01161_h1
2026-03-09 12:53:39 - INFO - viterbi processed marker 400 for HG01161_h1
2026-03-09 12:53:42 - INFO - viterbi processed marker 500 for HG01161_h1
2026-03-09 12:53:45 - INFO - viterbi processed marker 600 for HG01161_h1
2026-03-09 12:53:48 - INFO - viterbi processed marker 700 for HG01161_h1
2026-03-09 12:53:51 - INFO - viterbi processed marker 800 for HG01161_h1
2026-03-09 12:53:53 - INFO - viterbi processed marker 900 for HG01161_h1
2026-03-09 12:53:56 - INFO - viterbi processed marker 1000 for HG01161_h1
2026-03-09 12:53:59 - INFO - viterbi processed marker 1100 for HG01161_h1
2026-03-09 12:54:02 - INFO - viterbi processed marker 1200 for HG01161_h1
2026-03-09 12:54:05 - INFO - viterbi processed marker 1300 for HG01161_h1
2026-03-09 12:54:08 - INFO - viterbi processed marker 1400 for HG01161_h1
2026-03-09 12:54:11 - INFO - viterbi processed marker 1500 for HG01161_h1
2026-03-09 12:54:14 - INFO - viterbi processed marker 1600 for HG01161_h1
2026-03-09 12:54:16 - INFO - viterbi processed marker 1700 for HG01161_h1
2026-03-09 12:54:19 - INFO - viterbi processed marker 1800 for HG01161_h1
2026-03-09 12:54:22 - INFO - viterbi processed marker 1900 for HG01161_h1
2026-03-09 12:54:25 - INFO - viterbi processed marker 2000 for HG01161_h1
2026-03-09 12:54:28 - INFO - viterbi processed marker 2100 for HG01161_h1
2026-03-09 12:54:31 - INFO - viterbi processed marker 2200 for HG01161_h1
2026-03-09 12:54:34 - INFO - viterbi processed marker 2300 for HG01161_h1
2026-03-09 12:54:36 - INFO - viterbi processed marker 2400 for HG01161_h1
2026-03-09 12:54:39 - INFO - viterbi processed marker 2500 for HG01161_h1
2026-03-09 12:54:43 - INFO - viterbi processed marker 2600 for HG01161_h1
2026-03-09 12:54:46 - INFO - viterbi processed marker 2700 for HG01161_h1
2026-03-09 12:54:49 - INFO - viterbi processed marker 2800 for HG01161_h1
2026-03-09 12:54:52 - INFO - viterbi processed marker 2900 for HG01161_h1
2026-03-09 12:54:55 - INFO - viterbi processed marker 3000 for HG01161_h1
2026-03-09 12:54:58 - INFO - viterbi processed marker 3100 for HG01161_h1
2026-03-09 12:55:01 - INFO - viterbi processed marker 3200 for HG01161_h1
2026-03-09 12:55:04 - INFO - viterbi processed marker 3300 for HG01161_h1
2026-03-09 12:55:07 - INFO - viterbi processed marker 3400 for HG01161_h1
2026-03-09 12:55:09 - INFO - viterbi processed marker 3500 for HG01161_h1
2026-03-09 12:55:13 - INFO - viterbi processed marker 3600 for HG01161_h1
2026-03-09 12:55:16 - INFO - viterbi processed marker 3700 for HG01161_h1
2026-03-09 12:55:19 - INFO - viterbi processed marker 3800 for HG01161_h1
2026-03-09 12:55:20 - INFO - haplotype 5 (HG01161_h1) processed
2026-03-09 12:57:06 - INFO - forward pass complete for HG01161_h2
2026-03-09 12:58:57 - INFO - backward pass complete for HG01161_h2
2026-03-09 12:59:08 - INFO - global ancestry calculated for HG01161_h2
2026-03-09 12:59:11 - INFO - viterbi processed marker 100 for HG01161_h2
2026-03-09 12:59:14 - INFO - viterbi processed marker 200 for HG01161_h2
2026-03-09 12:59:17 - INFO - viterbi processed marker 300 for HG01161_h2
2026-03-09 12:59:20 - INFO - viterbi processed marker 400 for HG01161_h2
2026-03-09 12:59:23 - INFO - viterbi processed marker 500 for HG01161_h2
2026-03-09 12:59:26 - INFO - viterbi processed marker 600 for HG01161_h2
2026-03-09 12:59:29 - INFO - viterbi processed marker 700 for HG01161_h2
2026-03-09 12:59:32 - INFO - viterbi processed marker 800 for HG01161_h2
2026-03-09 12:59:35 - INFO - viterbi processed marker 900 for HG01161_h2
2026-03-09 12:59:38 - INFO - viterbi processed marker 1000 for HG01161_h2
2026-03-09 12:59:41 - INFO - viterbi processed marker 1100 for HG01161_h2
2026-03-09 12:59:44 - INFO - viterbi processed marker 1200 for HG01161_h2
2026-03-09 12:59:47 - INFO - viterbi processed marker 1300 for HG01161_h2
2026-03-09 12:59:49 - INFO - viterbi processed marker 1400 for HG01161_h2
2026-03-09 12:59:52 - INFO - viterbi processed marker 1500 for HG01161_h2
2026-03-09 12:59:55 - INFO - viterbi processed marker 1600 for HG01161_h2
2026-03-09 12:59:58 - INFO - viterbi processed marker 1700 for HG01161_h2
2026-03-09 13:00:01 - INFO - viterbi processed marker 1800 for HG01161_h2
2026-03-09 13:00:04 - INFO - viterbi processed marker 1900 for HG01161_h2
2026-03-09 13:00:07 - INFO - viterbi processed marker 2000 for HG01161_h2
2026-03-09 13:00:10 - INFO - viterbi processed marker 2100 for HG01161_h2
2026-03-09 13:00:13 - INFO - viterbi processed marker 2200 for HG01161_h2
2026-03-09 13:00:16 - INFO - viterbi processed marker 2300 for HG01161_h2
2026-03-09 13:00:18 - INFO - viterbi processed marker 2400 for HG01161_h2
2026-03-09 13:00:21 - INFO - viterbi processed marker 2500 for HG01161_h2
2026-03-09 13:00:24 - INFO - viterbi processed marker 2600 for HG01161_h2
2026-03-09 13:00:27 - INFO - viterbi processed marker 2700 for HG01161_h2
2026-03-09 13:00:30 - INFO - viterbi processed marker 2800 for HG01161_h2
