2026-03-11 19:03:48 - INFO - viterbi processed marker 500 for S1_trivial_1_h2
2026-03-11 19:03:49 - INFO - viterbi processed marker 600 for S1_trivial_1_h2
2026-03-11 19:03:51 - INFO - viterbi processed marker 700 for S1_trivial_1_h2
2026-03-11 19:03:53 - INFO - viterbi processed marker 800 for S1_trivial_1_h2
2026-03-11 19:03:54 - INFO - viterbi processed marker 900 for S1_trivial_1_h2
2026-03-11 19:03:56 - INFO - viterbi processed marker 1000 for S1_trivial_1_h2
2026-03-11 19:03:57 - INFO - viterbi processed marker 1100 for S1_trivial_1_h2
2026-03-11 19:03:59 - INFO - viterbi processed marker 1200 for S1_trivial_1_h2
2026-03-11 19:04:01 - INFO - viterbi processed marker 1300 for S1_trivial_1_h2
2026-03-11 19:04:02 - INFO - viterbi processed marker 1400 for S1_trivial_1_h2
2026-03-11 19:04:04 - INFO - viterbi processed marker 1500 for S1_trivial_1_h2
2026-03-11 19:04:05 - INFO - viterbi processed marker 1600 for S1_trivial_1_h2
2026-03-11 19:04:07 - INFO - viterbi processed marker 1700 for S1_trivial_1_h2
2026-03-11 19:04:08 - INFO - viterbi processed marker 1800 for S1_trivial_1_h2
2026-03-11 19:04:10 - INFO - viterbi processed marker 1900 for S1_trivial_1_h2
2026-03-11 19:04:12 - INFO - viterbi processed marker 2000 for S1_trivial_1_h2
2026-03-11 19:04:13 - INFO - viterbi processed marker 2100 for S1_trivial_1_h2
2026-03-11 19:04:15 - INFO - viterbi processed marker 2200 for S1_trivial_1_h2
2026-03-11 19:04:16 - INFO - viterbi processed marker 2300 for S1_trivial_1_h2
2026-03-11 19:04:18 - INFO - viterbi processed marker 2400 for S1_trivial_1_h2
2026-03-11 19:04:19 - INFO - viterbi processed marker 2500 for S1_trivial_1_h2
2026-03-11 19:04:21 - INFO - viterbi processed marker 2600 for S1_trivial_1_h2
2026-03-11 19:04:23 - INFO - viterbi processed marker 2700 for S1_trivial_1_h2
2026-03-11 19:04:24 - INFO - viterbi processed marker 2800 for S1_trivial_1_h2
2026-03-11 19:04:26 - INFO - viterbi processed marker 2900 for S1_trivial_1_h2
2026-03-11 19:04:27 - INFO - viterbi processed marker 3000 for S1_trivial_1_h2
2026-03-11 19:04:29 - INFO - viterbi processed marker 3100 for S1_trivial_1_h2
2026-03-11 19:04:30 - INFO - viterbi processed marker 3200 for S1_trivial_1_h2
2026-03-11 19:04:32 - INFO - viterbi processed marker 3300 for S1_trivial_1_h2
2026-03-11 19:04:34 - INFO - viterbi processed marker 3400 for S1_trivial_1_h2
2026-03-11 19:04:35 - INFO - viterbi processed marker 3500 for S1_trivial_1_h2
2026-03-11 19:04:37 - INFO - viterbi processed marker 3600 for S1_trivial_1_h2
2026-03-11 19:04:38 - INFO - viterbi processed marker 3700 for S1_trivial_1_h2
2026-03-11 19:04:40 - INFO - viterbi processed marker 3800 for S1_trivial_1_h2
2026-03-11 19:04:42 - INFO - viterbi processed marker 3900 for S1_trivial_1_h2
2026-03-11 19:04:43 - INFO - viterbi processed marker 4000 for S1_trivial_1_h2
2026-03-11 19:04:45 - INFO - viterbi processed marker 4100 for S1_trivial_1_h2
2026-03-11 19:04:46 - INFO - viterbi processed marker 4200 for S1_trivial_1_h2
2026-03-11 19:04:48 - INFO - viterbi processed marker 4300 for S1_trivial_1_h2
2026-03-11 19:04:49 - INFO - viterbi processed marker 4400 for S1_trivial_1_h2
2026-03-11 19:04:51 - INFO - viterbi processed marker 4500 for S1_trivial_1_h2
2026-03-11 19:04:53 - INFO - viterbi processed marker 4600 for S1_trivial_1_h2
2026-03-11 19:04:54 - INFO - viterbi processed marker 4700 for S1_trivial_1_h2
2026-03-11 19:04:56 - INFO - viterbi processed marker 4800 for S1_trivial_1_h2
2026-03-11 19:04:57 - INFO - viterbi processed marker 4900 for S1_trivial_1_h2
2026-03-11 19:04:59 - INFO - viterbi processed marker 5000 for S1_trivial_1_h2
2026-03-11 19:05:01 - INFO - viterbi processed marker 5100 for S1_trivial_1_h2
2026-03-11 19:05:02 - INFO - viterbi processed marker 5200 for S1_trivial_1_h2
2026-03-11 19:05:04 - INFO - viterbi processed marker 5300 for S1_trivial_1_h2
2026-03-11 19:05:05 - INFO - viterbi processed marker 5400 for S1_trivial_1_h2
2026-03-11 19:05:07 - INFO - viterbi processed marker 5500 for S1_trivial_1_h2
2026-03-11 19:05:08 - INFO - viterbi processed marker 5600 for S1_trivial_1_h2
2026-03-11 19:05:10 - INFO - viterbi processed marker 5700 for S1_trivial_1_h2
2026-03-11 19:05:12 - INFO - viterbi processed marker 5800 for S1_trivial_1_h2
2026-03-11 19:05:13 - INFO - viterbi processed marker 5900 for S1_trivial_1_h2
2026-03-11 19:05:15 - INFO - viterbi processed marker 6000 for S1_trivial_1_h2
2026-03-11 19:05:16 - INFO - viterbi processed marker 6100 for S1_trivial_1_h2
2026-03-11 19:05:18 - INFO - viterbi processed marker 6200 for S1_trivial_1_h2
2026-03-11 19:05:20 - INFO - viterbi processed marker 6300 for S1_trivial_1_h2
2026-03-11 19:05:20 - INFO - haplotype 2 (S1_trivial_1_h2) processed
2026-03-11 19:06:54 - INFO - forward pass complete for S1_trivial_2_h1
2026-03-11 19:08:28 - INFO - backward pass complete for S1_trivial_2_h1
